"Human Gene" "Gene"
"1" NA "Vmn1r186"
"2" NA "Csprs"
"3" "PRAMEF15" "Gm16367"
"4" "PRAMEF9" "Gm16367"
"5" "PRAMEF26" "Gm16367"
"6" "PRAMEF2" "Gm16367"
"7" "PRAMEF13" "Gm16367"
"8" "PRAMEF8" "Gm16367"
"9" "PRAMEF25" "Gm16367"
"10" "PRAMEF4" "Gm16367"
"11" "PRAMEF7" "Gm16367"
"12" "PRAMEF27" "Gm16367"
"13" "PRAMEF5" "Gm16367"
"14" "PRAMEF18" "Gm16367"
"15" "PRAMEF12" "Gm16367"
"16" "PRAMEF20" "Gm16367"
"17" "PRAMEF10" "Gm16367"
"18" "PRAMEF1" "Gm16367"
"19" "PRAMEF11" "Gm16367"
"20" "PRAMEF6" "Gm16367"
"21" "PRAMEF14" "Gm16367"
"22" "PRAMEF19" "Gm16367"
"23" "PRAMEF33" "Gm16367"
"24" "PRAMEF17" "Gm16367"
"25" NA "Gm20816"
"26" "SYCP3" "Gm20817"
"27" "SYCP3" "Gm20870"
"28" "SYCP3" "Gm20903"
"29" "SYCP3" "Gm20905"
"30" NA "Gm20738"
"31" "SYCP3" "Gm20814"
"32" "SYCP3" "Gm20850"
"33" "SYCP3" "Gm20897"
"34" NA "Gm20867"
"35" NA "Gm20806"
"36" "SYCP3" "Gm29276"
"37" NA "Gm21783"
"38" NA "Gm21170"
"39" NA "Gm20854"
"40" "SYCP3" "Gm20820"
"41" "SYCP3" "Gm20883"
"42" "SYCP3" "Gm20906"
"43" NA "Gm20747"
"44" "SYCP3" "Gm20929"
"45" NA "Gm20823"
"46" "SYCP3" "Gm21627"
"47" "SYCP3" "Gm20908"
"48" NA "Gm20924"
"49" "SYCP3" "Gm20736"
"50" NA "Gm20852"
"51" NA "Ssty2"
"52" "SYCP3" "Gm20937"
"53" "SYCP3" "Gm21366"
"54" NA "Gm20809"
"55" NA "Gm20918"
"56" NA "Gm21746"
"57" NA "Gm20873"
"58" NA "Gm20830"
"59" "SYCP3" "Gm28998"
"60" NA "Gm21788"
"61" NA "Gm20826"
"62" "SYCP3" "Gm28576"
"63" NA "Gm29049"
"64" NA "Gm20825"
"65" "SYCP3" "Gm20824"
"66" NA "Gm20815"
"67" NA "Gm21310"
"68" NA "Gm20834"
"69" NA "Gm20828"
"70" NA "Gm20822"
"71" NA "Gm20909"
"72" NA "Gm20865"
